"","202506","202505","202504","202503","202502","202501","202412","202411","202410","202409","202408","202407","202406","202405","202404","202403","202402","202401"
"All - Total","29,191","45,401","33,105","34,270","44,074","37,144","38,076","48,356","43,689","44,593","52,915","47,079","45,548","56,135","37,901","34,125","51,059","44,327"
"PPT PROFIT PER CALL","$107.11","$105.22","$101.68","$113.90","$119.69","$116.54","$112.46","$112.32","$115.09","$121.87","$124.05","$130.28","$116.03","$116.57","$114.53","$101.12","$107.42","$105.47"
"TOTAL REVENUE PER CALL","$222.19","$217.42","$215.70","$221.60","$222.64","$212.49","$211.95","$218.96","$217.01","$219.82","$224.33","$225.25","$212.01","$213.12","$217.97","$214.35","$207.74","$184.25"
"PPT COST PER CALL","$115.08","$112.21","$114.02","$107.71","$102.95","$95.95","$99.50","$106.64","$101.92","$97.96","$100.27","$94.97","$95.98","$96.55","$103.44","$113.24","$100.33","$78.79"
"LABOR REVENUE PER CALL","$183.15","$184.23","$177.85","$181.26","$182.16","$177.43","$181.49","$188.39","$187.31","$189.39","$193.26","$196.40","$182.79","$182.07","$187.11","$175.41","$164.83","$155.70"
"PAYROLL COST PER CALL","$58.33","$56.02","$57.13","$54.98","$51.09","$48.83","$48.86","$49.19","$48.98","$48.91","$48.30","$44.85","$48.34","$49.14","$50.76","$60.12","$48.16","$49.54"
"BENEFIT COST PER CALL","$17.70","$17.06","$18.65","$16.16","$15.89","$14.20","$14.97","$20.97","$17.13","$13.42","$15.80","$11.47","$12.60","$14.20","$17.15","$17.08","$15.12","$12.07"
"PARTS REVENUE PER CALL","$39.04","$33.19","$37.85","$40.35","$40.47","$35.07","$30.46","$30.57","$29.69","$30.43","$31.07","$28.86","$29.22","$31.05","$30.86","$38.95","$42.91","$28.55"
"PARTS COST PER CALL","$16.12","$17.13","$16.01","$16.19","$15.99","$13.91","$15.08","$16.47","$16.64","$16.92","$18.20","$19.71","$15.53","$14.58","$14.80","$13.77","$17.43","$15.96"
"PARTS UNMARKED COST PER CALL","$0.50","$0.46","$0.47","$0.33","$0.38","$0.20","$0.23","$0.30","$0.40","$0.64","$0.65","$0.74","$0.70","$0.47","$0.63","$1.32","$1.70","$0.07"
"TRUCK COST PER CALL","$20.23","$19.17","$18.97","$17.60","$16.94","$15.48","$17.62","$17.66","$17.31","$16.30","$15.47","$16.01","$17.00","$16.41","$18.61","$20.74","$17.88","$0.00"
"UPS SHIPMENT COST PER CALL","$2.70","$2.84","$3.26","$2.79","$3.05","$3.54","$2.96","$2.35","$1.85","$2.40","$2.51","$2.94","$2.50","$2.22","$2.12","$1.53","$1.74","$1.22"
"%PROFITABLE","86.72%","85.88%","84.12%","85.84%","86.06%","85.08%","84.26%","84.90%","84.68%","84.53%","84.75%","84.19%","83.11%","83.93%","85.21%","76.26%","79.62%","82.81%"
"%UNPROFITABLE","13.28%","14.12%","15.88%","14.16%","13.94%","14.92%","15.74%","15.10%","15.32%","15.47%","15.25%","15.81%","16.89%","16.07%","14.79%","23.74%","20.38%","17.19%"
"PROFITABLE SOS","25,313","38,992","27,848","29,416","37,928","31,603","32,084","41,053","36,994","37,694","44,844","39,636","37,854","47,113","32,295","26,023","40,655","36,706"
"UNPROFITABLE SOS","3,878","6,409","5,257","4,854","6,146","5,541","5,992","7,303","6,695","6,899","8,071","7,443","7,694","9,022","5,606","8,102","10,404","7,621"
"TOTAL REVENUE","$6,485,869","$9,871,245","$7,140,586","$7,594,369","$9,812,555","$7,892,834","$8,070,266","$10,588,201","$9,480,895","$9,802,631","$11,870,275","$10,604,669","$9,656,647","$11,963,534","$8,261,140","$7,314,864","$10,607,178","$8,167,338"
"PPT COST","$3,359,337","$5,094,314","$3,774,595","$3,691,140","$4,537,418","$3,564,113","$3,788,399","$5,156,832","$4,452,622","$4,368,121","$5,306,011","$4,471,100","$4,371,825","$5,420,028","$3,920,322","$3,864,170","$5,122,544","$3,492,372"
"PPT PROFIT","$3,126,532","$4,776,931","$3,365,991","$3,903,229","$5,275,137","$4,328,721","$4,281,866","$5,431,369","$5,028,273","$5,434,510","$6,564,264","$6,133,569","$5,284,822","$6,543,506","$4,340,818","$3,450,694","$5,484,634","$4,674,966"
"LABOR REVENUE","$5,346,282","$8,364,160","$5,887,702","$6,211,649","$8,028,675","$6,590,297","$6,910,333","$9,109,968","$8,183,602","$8,445,551","$10,226,096","$9,246,084","$8,325,586","$10,220,590","$7,091,561","$5,985,784","$8,416,025","$6,901,721"
"PAYROLL COST","$1,702,829","$2,543,316","$1,891,411","$1,884,002","$2,251,674","$1,813,614","$1,860,479","$2,378,648","$2,139,962","$2,181,242","$2,556,002","$2,111,370","$2,201,983","$2,758,540","$1,923,694","$2,051,427","$2,458,918","$2,196,109"
"BENEFIT COST","$516,726","$774,466","$617,353","$553,649","$700,247","$527,387","$570,017","$1,014,012","$748,539","$598,419","$836,017","$539,773","$574,067","$797,087","$649,922","$582,727","$772,001","$534,805"
"PARTS REVENUE","$1,139,587","$1,507,085","$1,252,884","$1,382,720","$1,783,880","$1,302,537","$1,159,933","$1,478,233","$1,297,293","$1,357,080","$1,644,179","$1,358,585","$1,331,060","$1,742,943","$1,169,578","$1,329,080","$2,191,153","$1,265,617"
"PARTS COST","$470,450","$777,499","$529,932","$554,811","$704,660","$516,783","$574,093","$796,477","$726,804","$754,406","$962,966","$927,800","$707,516","$818,242","$561,051","$469,859","$890,128","$707,584"
"PARTS UNMARKED COST","$14,533","$20,758","$15,571","$11,399","$16,797","$7,369","$8,769","$14,457","$17,555","$28,526","$34,243","$35,005","$31,994","$26,540","$23,721","$44,994","$86,635","$3,182"
"TRUCK COST","$590,635","$870,192","$627,862","$603,084","$746,559","$574,963","$671,004","$853,824","$756,298","$726,886","$818,450","$753,942","$774,538","$921,365","$705,391","$707,877","$912,790","$0"
"UPS SHIPMENT COST","$78,697","$128,842","$108,036","$95,593","$134,278","$131,367","$112,807","$113,870","$81,019","$107,167","$132,576","$138,217","$113,721","$124,794","$80,264","$52,280","$88,707","$53,874"
"ED","10,542","14,948","1","11,269","13,999","12,034","11,783","14,462","12,979","12,776","15,501","13,395","14,078","17,090","11,949","10,147","14,387","12,167"
"ED RATE","26.53%","24.77%","0.00%","24.75%","24.11%","24.47%","23.63%","23.02%","22.90%","22.27%","22.66%","22.15%","23.61%","23.34%","23.97%","22.92%","21.98%","21.54%"
"RECALLS","595","1,455","965","975","1,447","1,352","1,560","1,743","1,588","1,708","2,044","1,630","1,471","1,841","1,212","982","1,947","1,879"
"RECALL RATE","2.04%","3.20%","2.91%","2.85%","3.28%","3.64%","4.10%","3.60%","3.63%","3.83%","3.86%","3.46%","3.23%","3.28%","3.20%","2.88%","3.81%","4.24%"
"N ATP PER CALL","1.22","1.23","1.19","1.20","1.21","1.19","1.19","1.18","1.18","1.16","1.15","1.15","1.13","1.13","1.12","1.05","1.21","1.19"
