"","Completes","Revenue","Profit","PPT Cost","Revenue Per Call","Profit Per Call","Payroll Cost","Truck Cost","Payroll Cost Per Call","Truck Cost Per Call","PPT Cost Per Call","Profit Margin"
"","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)"
"Total Completes","2,741","$709,447","$184,249","$525,197","$258.83","$67.22","$205,429","$71,012","$74.95","$25.91","$191.61","25.97%"
"YOY","13,868","$2,448,125","$334,805","$2,113,321","$176.53","$24.14","$847,545","$300,147","$61.12","$21.64","$152.39","13.68%"
"YOY%","-80.24%","-71.02%","-44.97%","-75.15%","46.62%","178.43%","-75.76%","-76.34%","22.63%","19.70%","25.74%","89.90%"
"LW","7,595","$1,859,476","$454,892","$1,404,584","$244.83","$59.89","$564,738","$194,003","$74.36","$25.54","$184.94","24.46%"
"LW%","-63.91%","-61.85%","-59.50%","-62.61%","5.72%","12.23%","-63.62%","-63.40%","0.79%","1.42%","3.61%","6.16%"
"Appliance View","","","","","","","","","","","",""
"Refrigerator/Freezer","722","$201,151","$44,860","$156,291","$278.60","$62.13","$56,314","$19,303","$78.00","$26.74","$216.47","22.30%"
"Dryer","215","$53,438","$13,550","$39,888","$248.55","$63.02","$15,415","$5,640","$71.70","$26.23","$185.53","25.36%"
"Range/Cooktop/Oven","312","$86,109","$17,391","$68,718","$275.99","$55.74","$26,169","$9,588","$83.88","$30.73","$220.25","20.20%"
"Dishwasher","282","$66,234","$14,239","$51,995","$234.87","$50.49","$20,824","$7,424","$73.84","$26.33","$184.38","21.50%"
"Washer","641","$173,410","$46,819","$126,590","$270.53","$73.04","$47,631","$17,017","$74.31","$26.55","$197.49","27.00%"
"Mwave","50","$13,087","$1,301","$11,787","$261.75","$26.02","$4,749","$1,668","$94.98","$33.37","$235.73","9.94%"
"Hvac","511","$114,708","$45,458","$69,249","$224.48","$88.96","$33,975","$10,248","$66.49","$20.05","$135.52","39.63%"
"Other","8","$1,310","$632","$678","$163.69","$78.97","$351","$125","$43.86","$15.64","$84.73","48.24%"
"Disposer/Compactor","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Lawn/Gard/Garage","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"American Home Shield","870","$220,318","$39,345","$180,973","$253.24","$45.22","$68,947","$24,305","$79.25","$27.94","$208.02","17.86%"
"YOY","3,337","$699,490","$176,278","$523,212","$209.62","$52.83","$201,903","$72,195","$60.50","$21.63","$156.79","25.20%"
"YOY%","-73.93%","-68.50%","-77.68%","-65.41%","20.81%","-14.39%","-65.85%","-66.33%","30.98%","29.13%","32.67%","-29.14%"
"LW","2,108","$559,774","$119,225","$440,549","$265.55","$56.56","$170,467","$59,533","$80.87","$28.24","$208.99","21.30%"
"LW%","-58.73%","-60.64%","-67.00%","-58.92%","-4.63%","-20.04%","-59.55%","-59.17%","-2.00%","-1.08%","-0.47%","-16.15%"
"Appliance View","","","","","","","","","","","",""
"Refrigerator/Freezer","277","$75,702","$12,257","$63,446","$273.29","$44.25","$22,709","$7,823","$81.98","$28.24","$229.05","16.19%"
"Dryer","134","$31,027","$7,300","$23,727","$231.54","$54.48","$9,151","$3,305","$68.29","$24.67","$177.07","23.53%"
"Range/Cooktop/Oven","91","$23,859","$3,562","$20,297","$262.19","$39.14","$7,905","$2,856","$86.87","$31.38","$223.04","14.93%"
"Dishwasher","132","$29,976","$3,416","$26,560","$227.09","$25.88","$10,761","$3,981","$81.53","$30.16","$201.21","11.40%"
"Washer","191","$47,442","$11,955","$35,487","$248.39","$62.59","$13,870","$4,741","$72.62","$24.82","$185.80","25.20%"
"Mwave","45","$12,312","$856","$11,457","$273.61","$19.01","$4,551","$1,600","$101.13","$35.55","$254.60","6.95%"
"Hvac","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Other","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Disposer/Compactor","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Assurant","724","$205,081","$54,985","$150,096","$283.26","$75.95","$55,870","$19,875","$77.17","$27.45","$207.32","26.81%"
"YOY","1,679","$336,859","$59,830","$277,029","$200.63","$35.63","$104,770","$39,119","$62.40","$23.30","$165.00","17.76%"
"YOY%","-56.88%","-39.12%","-8.10%","-45.82%","41.19%","113.13%","-46.67%","-49.19%","23.67%","17.82%","25.65%","50.96%"
"LW","2,002","$553,174","$148,331","$404,843","$276.31","$74.09","$153,691","$54,004","$76.77","$26.98","$202.22","26.81%"
"LW%","-63.84%","-62.93%","-62.93%","-62.92%","2.52%","2.50%","-63.65%","-63.20%","0.52%","1.76%","2.52%","-0.01%"
"Appliance View","","","","","","","","","","","",""
"Refrigerator/Freezer","226","$68,169","$15,514","$52,655","$301.63","$68.65","$18,256","$6,115","$80.78","$27.06","$232.99","22.76%"
"Dryer","9","$2,529","$339","$2,190","$280.97","$37.68","$808","$255","$89.79","$28.30","$243.29","13.41%"
"Range/Cooktop/Oven","92","$27,701","$7,157","$20,544","$301.10","$77.80","$8,042","$2,983","$87.41","$32.43","$223.30","25.84%"
"Dishwasher","67","$16,796","$5,530","$11,266","$250.69","$82.54","$4,286","$1,479","$63.98","$22.08","$168.15","32.93%"
"Washer","319","$88,150","$25,642","$62,508","$276.33","$80.38","$23,960","$8,841","$75.11","$27.71","$195.95","29.09%"
"Mwave","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Hvac","11","$1,736","$802","$934","$157.79","$72.92","$517","$202","$47.01","$18.32","$84.87","46.21%"
"Other","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Disposer/Compactor","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Choice Home Warranty","453","$100,389","$40,394","$59,995","$221.61","$89.17","$29,934","$9,039","$66.08","$19.95","$132.44","40.24%"
"YOY","3,177","$465,081","$56,125","$408,956","$146.39","$17.67","$192,064","$63,523","$60.45","$19.99","$128.72","12.07%"
