"","202525","202524","202523","202522","202521","202520","202519","202518","202517","202516","202515","202514","202513","202512","202511","202510","202509","202508","202507","202506","202505","202504","202503","202502","202501","202452","202451","202450","202449","202448","202447","202446","202445","202444","202443","202442","202441","202440","202439","202438","202437","202436","202435","202434","202433","202432","202431","202430","202429","202428","202427","202426","202425","202424","202423","202422","202421","202420","202419","202418","202417","202416","202415","202414","202413","202412","202411","202410","202409","202408","202407","202406","202405","202404","202403","202402","202401","202353","202352","202351","202350","202349","202348","202347","202346","202345","202344","202343","202342","202341","202340","202339","202338","202337","202336","202335","202334","202333","202332","202331","202330","202329","202328","202327","202326","202325","202324","202323","202322","202321","202320","202319","202318","202317","202316","202315","202314","202313","202312","202311","202310","202309","202308","202307","202306","202305","202304","202303","202302","202301"
"Ordered Parts","17,186","16,355","16,632","13,673","17,648","16,308","17,331","20,206","15,538","17,826","18,046","18,374","18,113","17,428","16,909","17,813","18,036","17,897","18,691","17,760","18,871","20,611","20,086","20,456","22,083","21,476","20,060","22,947","23,654","18,839","17,341","22,983","23,838","22,198","18,357","23,912","24,991","25,447","25,467","25,004","26,428","27,159","28,600","28,903","30,551","30,050","25,645","30,154","29,748","29,292","28,676","28,054","29,999","29,918","32,628","23,538","28,287","26,808","25,586","25,093","20,548","24,601","23,493","22,923","22,798","22,433","22,874","15,817","109,918","2,048","9,223","17,875","22,903","25,674","26,041","28,384","26,319","30,935","30,641","30,234","33,981","27,604","24,943","31,392","33,324","33,401","36,303","26,676","35,505","35,180","34,755","35,233","35,324","36,186","37,257","36,726","38,018","35,959","30,336","38,093","38,485","38,437","40,265","38,766","38,785","41,018","41,371","32,521","38,851","39,273","38,236","41,232","33,858","38,366","37,857","36,291","37,486","36,704","38,131","36,995","35,650","36,665","35,833","36,165","37,007","36,949","37,684","37,940","40,286","39,113"
"Ordered Parts Cost","$1,010,914.85","$969,927.56","$974,706.36","$825,805.65","$1,067,951.13","$949,152.69","$985,021.57","$1,072,182.62","$862,145.80","$1,010,022.95","$1,064,090.89","$1,065,019.27","$1,052,153.57","$1,015,260.69","$976,922.80","$1,043,127.01","$1,052,110.46","$1,074,954.24","$1,135,492.45","$1,088,838.05","$1,077,187.89","$1,157,092.06","$1,138,477.99","$1,188,909.72","$1,283,003.18","$1,201,469.00","$1,155,102.76","$1,308,052.03","$1,309,743.86","$1,032,149.90","$958,868.56","$1,242,999.57","$1,323,049.54","$1,218,730.78","$1,004,871.61","$1,335,201.58","$1,358,983.64","$1,375,904.79","$1,352,259.82","$1,372,125.42","$1,430,398.11","$1,472,738.93","$1,567,110.39","$1,560,403.27","$1,640,019.19","$1,612,483.78","$1,349,401.05","$1,646,316.91","$1,695,741.28","$1,639,370.56","$1,576,157.33","$1,513,200.94","$1,620,480.12","$1,646,000.98","$1,797,186.74","$1,279,846.89","$1,608,515.23","$1,486,732.18","$1,461,486.86","$1,486,397.35","$1,214,799.10","$1,471,337.74","$1,382,966.55","$1,300,742.82","$1,303,974.71","$1,238,058.59","$1,320,849.71","$893,409.26","$6,309,128.59","$106,114.23","$544,138.15","$1,012,561.98","$1,290,292.08","$1,444,801.07","$1,455,720.15","$1,590,605.25","$1,503,882.66","$1,748,892.64","$1,748,666.14","$1,746,398.47","$1,932,675.09","$1,568,305.73","$1,396,284.42","$1,800,698.12","$1,886,728.04","$1,860,016.73","$2,034,699.20","$1,538,072.55","$1,962,197.81","$1,960,070.26","$1,971,133.67","$1,981,234.85","$2,013,017.97","$2,080,538.39","$2,210,623.10","$2,154,995.13","$2,218,543.54","$2,110,868.07","$1,771,293.83","$2,220,763.96","$2,234,032.10","$2,248,804.70","$2,355,815.18","$2,239,985.90","$2,259,762.69","$2,353,766.55","$2,369,776.45","$1,893,937.71","$2,272,990.60","$2,292,775.66","$2,208,983.40","$2,393,742.35","$1,971,582.67","$2,133,593.46","$2,139,766.67","$2,049,952.50","$2,085,136.05","$2,032,353.27","$2,171,796.50","$2,086,997.43","$1,960,568.75","$2,062,700.45","$2,023,694.05","$2,067,135.29","$2,048,381.44","$2,087,777.32","$2,128,836.80","$2,180,369.46","$2,279,072.67","$2,193,099.27"
"Ordered Parts Revenue","$1,762,352.89","$1,676,066.82","$1,703,302.05","$1,427,039.45","$1,793,649.96","$1,637,233.49","$1,749,583.68","$2,070,534.15","$1,643,617.53","$1,754,604.17","$1,792,963.28","$1,848,941.57","$1,824,848.30","$1,745,847.30","$1,689,323.45","$1,815,632.34","$1,839,090.72","$1,841,694.76","$1,932,196.44","$1,834,774.56","$1,865,018.48","$2,004,000.00","$1,952,351.52","$2,022,101.98","$2,171,362.93","$2,032,352.27","$1,924,585.50","$2,194,770.30","$2,245,832.91","$1,825,184.33","$1,708,468.34","$2,267,263.53","$2,398,792.72","$2,263,682.97","$1,902,306.62","$2,483,612.42","$2,541,186.81","$2,584,134.29","$2,527,329.12","$2,568,790.37","$2,702,345.63","$2,742,411.79","$2,894,598.67","$2,822,534.76","$2,966,460.99","$2,922,007.38","$2,483,861.94","$2,974,532.54","$2,991,972.65","$2,918,746.55","$2,850,859.93","$2,763,707.55","$2,905,943.82","$2,962,053.04","$3,229,197.80","$2,254,836.64","$2,794,638.17","$2,654,465.75","$2,550,080.17","$2,460,424.59","$2,009,108.59","$2,433,004.43","$2,260,913.29","$2,168,278.34","$2,174,327.97","$2,113,851.99","$2,261,356.61","$1,625,213.84","$13,244,734.85","$206,756.15","$930,639.04","$1,668,173.45","$2,137,927.32","$2,406,922.58","$2,390,949.54","$2,580,814.31","$2,460,689.57","$2,865,272.41","$2,842,426.19","$2,859,216.76","$3,174,224.15","$2,564,116.14","$2,278,128.71","$2,933,025.28","$3,049,058.69","$3,021,318.74","$3,308,309.93","$2,498,702.90","$3,213,008.55","$3,215,519.93","$3,205,993.19","$3,192,921.29","$3,262,897.15","$3,336,830.73","$3,524,344.21","$3,415,711.02","$3,540,805.30","$3,370,459.37","$2,820,751.66","$3,528,916.21","$3,603,036.34","$3,575,962.23","$3,737,240.39","$3,571,301.14","$3,617,562.46","$3,763,268.76","$3,789,470.48","$3,005,663.86","$3,615,902.82","$3,653,207.27","$3,534,468.63","$3,813,537.31","$3,152,995.66","$3,441,539.61","$3,433,582.27","$3,284,935.81","$3,323,031.80","$3,281,135.40","$3,480,091.05","$3,321,432.02","$3,137,955.51","$3,299,143.39","$3,214,745.36","$3,275,658.89","$3,260,368.21","$3,314,896.80","$3,364,188.71","$3,415,090.71","$3,622,606.72","$3,458,684.50"
"Shipped Parts","5,524","1,542","1,121","599","790","466","363","542","466","370","413","402","350","325","344","383","349","377","357","257","296","183","153","155","225","208","177","150","192","148","143","214","173","163","163","293","287","220","251","210","206","311","241","303","346","296","394","373","334","367","525","550","646","553","493","390","375","298","293","291","195","290","206","162","222","222","204","524","21,320","413","240","115","89","61","85","68","89","112","89","104","95","89","95","106","178","154","121","122","182","222","161","205","215","187","205","197","237","275","169","281","381","262","314","259","264","279","277","175","332","325","322","300","256","265","356","341","346","379","381","350","379","365","323","265","333","347","278","301","339","341"
"Shipped Parts Cost","$332,749.76","$108,773.95","$75,821.75","$40,546.50","$54,064.72","$37,339.51","$28,000.19","$37,256.30","$27,570.20","$22,241.49","$24,426.44","$24,856.24","$21,332.67","$19,862.78","$21,252.47","$23,746.25","$22,330.12","$25,044.04","$23,438.61","$17,025.21","$20,673.99","$11,158.87","$10,343.73","$8,679.61","$13,155.59","$11,130.99","$11,204.00","$8,916.39","$8,438.26","$7,801.24","$8,177.40","$12,524.59","$10,884.03","$9,009.80","$11,170.14","$16,573.93","$16,991.90","$14,851.86","$15,007.85","$13,561.54","$12,334.11","$19,192.61","$20,046.22","$19,211.29","$23,105.85","$21,698.76","$22,236.28","$23,181.30","$22,933.36","$26,882.36","$28,583.30","$29,667.97","$38,823.64","$34,938.45","$28,993.69","$22,218.20","$24,559.86","$23,765.50","$19,029.92","$22,281.49","$13,724.79","$16,231.87","$14,543.82","$9,434.45","$17,220.43","$14,500.62","$15,542.55","$35,419.57","$1,176,336.74","$26,344.52","$11,464.48","$4,423.53","$4,227.33","$1,797.31","$3,182.54","$2,120.26","$4,181.51","$2,938.89","$3,503.02","$4,812.40","$4,652.88","$4,652.20","$4,180.62","$4,565.20","$8,028.78","$5,680.47","$5,125.03","$4,375.30","$6,670.06","$7,725.74","$5,601.18","$7,520.69","$8,644.65","$9,409.52","$8,792.51","$8,256.44","$11,358.14","$10,140.85","$9,948.08","$15,745.72","$18,904.49","$15,012.78","$15,167.81","$10,950.55","$13,246.57","$12,419.08","$10,976.64","$8,102.69","$11,418.56","$11,702.63","$11,856.40","$12,938.03","$9,157.34","$9,997.87","$14,753.40","$16,141.80","$15,820.84","$14,116.87","$16,404.55","$14,259.91","$15,603.47","$16,952.97","$14,320.73","$8,709.42","$13,993.95","$13,177.88","$9,486.89","$12,102.92","$12,934.00","$13,718.16"
"Shipped Parts Revenue","$564,628.59","$164,104.51","$115,452.57","$59,259.59","$76,044.96","$51,607.09","$39,099.06","$58,471.31","$42,598.37","$35,472.75","$34,313.12","$37,363.56","$31,918.82","$29,352.95","$32,251.53","$38,377.18","$34,726.65","$39,854.69","$37,142.79","$25,678.24","$31,520.43","$15,784.76","$13,496.11","$12,151.42","$18,914.65","$17,089.39","$16,133.52","$12,331.87","$14,136.03","$11,918.49","$12,082.23","$17,598.64","$16,291.80","$15,920.41","$20,949.35","$32,257.53","$31,533.59","$24,936.26","$27,870.86","$22,956.20","$23,597.30","$36,530.40","$33,715.56","$29,357.28","$38,383.08","$36,162.70","$37,338.75","$37,684.14","$37,832.30","$43,186.29","$56,162.49","$51,252.64","$61,885.36","$58,545.76","$52,524.73","$38,181.91","$43,859.84","$41,479.79","$35,585.21","$36,013.30","$22,154.64","$27,611.00","$25,031.17","$18,026.69","$30,702.07","$25,600.91","$28,047.13","$65,639.34","$2,604,262.61","$48,776.65","$24,606.57","$8,300.74","$8,681.26","$4,202.44","$6,281.51","$3,952.51","$7,376.78","$5,148.45","$6,582.62","$8,324.65","$6,835.40","$7,633.62","$7,562.84","$7,491.46","$14,620.38","$10,467.05","$8,981.89","$8,472.60","$10,947.91","$14,697.51","$9,011.73","$13,515.95","$15,590.00","$14,428.78","$15,780.21","$13,462.37","$18,630.96","$17,947.49","$16,367.66","$26,994.96","$33,547.48","$24,722.81","$26,515.19","$20,917.00","$22,234.35","$23,997.39","$19,795.35","$15,569.57","$21,818.14","$22,545.02","$19,877.75","$23,605.20","$17,792.51","$19,311.57","$27,695.31","$29,428.05","$27,295.36","$26,274.61","$30,103.84","$24,561.59","$27,905.02","$30,579.29","$24,300.50","$18,855.90","$23,984.84","$23,077.43","$17,495.18","$22,930.06","$22,339.79","$24,815.13"
"Delivered Parts","6,403","7,006","4,201","2,931","2,891","2,318","2,161","2,242","1,307","1,797","1,715","1,660","1,711","1,564","1,581","1,468","1,461","1,460","1,454","1,458","1,533","1,806","1,569","1,554","1,645","1,765","1,675","1,684","1,784","1,368","1,422","1,986","2,254","1,935","1,904","2,670","2,598","2,848","2,856","2,709","3,235","3,187","3,488","3,358","3,882","3,637","2,862","3,508","3,817","3,403","3,443","3,405","3,238","3,012","3,405","2,773","3,281","3,179","3,280","3,141","2,406","2,631","2,185","1,733","1,938","1,634","2,024","1,966","5,429","553","212","137","73","66","37","75","68","81","108","61","135","63","78","11","10","11","35","5","30","8","4","6","5","1","2","0","1","13","0","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delivered Parts Cost","$348,820.08","$389,958.52","$237,270.31","$170,006.97","$169,035.38","$131,302.82","$124,432.35","$109,160.06","$69,647.15","$98,647.06","$103,454.76","$92,289.76","$98,598.67","$88,487.21","$88,040.61","$90,609.94","$85,723.75","$86,279.90","$83,857.60","$85,744.69","$84,262.42","$97,454.98","$79,937.21","$87,208.81","$89,121.08","$96,147.49","$92,290.48","$92,678.77","$87,445.20","$73,023.42","$77,321.03","$94,448.21","$110,679.83","$103,476.71","$98,614.35","$138,822.71","$139,901.59","$152,852.89","$150,414.02","$150,189.19","$172,361.18","$170,102.70","$183,391.66","$167,829.46","$199,116.58","$197,237.57","$152,576.07","$186,037.70","$218,267.40","$192,106.17","$186,993.02","$173,858.61","$166,959.64","$163,258.19","$181,919.77","$146,943.43","$172,942.40","$161,855.31","$177,037.01","$173,297.67","$139,991.95","$138,517.18","$121,652.34","$95,969.30","$106,981.81","$93,504.19","$129,765.88","$109,592.28","$414,567.68","$24,661.20","$10,145.74","$6,845.24","$3,758.63","$4,079.67","$1,417.01","$3,940.71","$3,016.52","$4,711.09","$3,529.89","$3,686.91","$5,513.02","$3,374.31","$3,682.53","$118.04","$362.96","$449.28","$705.70","$642.10","$1,339.36","$653.67","$96.59","$243.95","$310.96","$20.23","$356.69","$0.00","$26.28","$40.78","$0.00","$142.36","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Delivered Parts Revenue","$649,618.08","$677,118.15","$405,973.37","$282,828.59","$276,871.63","$206,863.74","$206,122.32","$199,828.45","$123,502.67","$162,904.25","$159,910.56","$150,703.48","$159,164.99","$141,035.05","$137,633.63","$152,987.87","$139,026.21","$139,822.09","$133,239.05","$137,897.45","$136,279.93","$154,571.03","$134,629.06","$139,174.75","$143,708.73","$154,414.49","$148,699.08","$147,173.46","$146,073.99","$123,818.63","$128,944.47","$164,199.64","$189,121.42","$188,174.79","$197,574.35","$270,597.15","$263,676.73","$288,990.16","$293,953.55","$284,424.40","$328,329.06","$323,329.02","$347,280.84","$301,202.09","$362,674.14","$350,708.22","$278,174.38","$343,968.72","$378,104.62","$338,635.40","$339,399.87","$308,161.88","$289,816.44","$282,365.28","$320,581.86","$253,977.18","$302,017.72","$292,667.22","$323,942.89","$308,373.78","$234,082.69","$251,312.79","$218,007.83","$175,819.71","$204,090.19","$186,496.88","$243,975.54","$215,132.63","$772,205.93","$51,973.29","$21,607.84","$14,189.98","$7,419.12","$7,064.37","$2,431.04","$6,616.67","$4,734.85","$7,766.68","$6,481.39","$6,045.50","$9,712.83","$4,814.97","$5,586.69","$334.91","$668.46","$720.84","$1,556.02","$718.13","$2,484.66","$1,004.02","$287.80","$330.87","$668.27","$82.89","$710.41","$0.00","$30.35","$786.11","$0.00","$189.60","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
